customer_id,customer_name,city
1,Customer_1,Hyderabad
2,Customer_2,Bengaluru
3,Customer_3,Hyderabad
4,Customer_4,Hyderabad
5,Customer_5,Coimbatore
6,Customer_6,Chennai
7,Customer_7,Hyderabad
8,Customer_8,Bengaluru
9,Customer_9,Coimbatore
10,Customer_10,Coimbatore
11,Customer_11,Bengaluru
12,Customer_12,Hyderabad
13,Customer_13,Chennai
14,Customer_14,Bengaluru
15,Customer_15,Bengaluru
16,Customer_16,Bengaluru
17,Customer_17,Chennai
18,Customer_18,Coimbatore
19,Customer_19,Chennai
20,Customer_20,Coimbatore
21,Customer_21,Coimbatore
22,Customer_22,Bengaluru
23,Customer_23,Chennai
24,Customer_24,Hyderabad
25,Customer_25,Coimbatore
26,Customer_26,Coimbatore
27,Customer_27,Hyderabad
28,Customer_28,Bengaluru
29,Customer_29,Hyderabad
30,Customer_30,Hyderabad
