item_id,order_id,product_id,quantity,unit_price
1,1,1,3,2533
2,1,10,4,632
3,1,7,3,1606
4,2,2,4,3261
5,2,2,1,3261
6,2,14,4,1594
7,3,19,1,4614
8,3,5,3,427
9,3,8,1,4391
10,4,18,5,1527
11,4,8,2,4391
12,4,13,2,362
13,5,15,4,2461
14,5,7,1,1606
15,5,13,4,362
16,6,3,4,2742
17,6,19,5,4614
18,6,18,5,1527
19,7,10,2,632
20,7,5,5,427
21,7,7,3,1606
22,8,6,5,1990
23,8,16,2,2600
24,9,11,2,1322
25,9,6,1,1990
26,10,17,1,2307
27,10,14,1,1594
28,10,15,1,2461
29,11,8,3,4391
30,11,9,3,1999
31,11,7,4,1606
32,12,5,5,427
33,13,2,5,3261
34,13,6,1,1990
35,13,8,4,4391
36,14,16,3,2600
37,15,13,2,362
38,15,5,2,427
39,16,16,2,2600
40,16,15,1,2461
41,17,17,5,2307
42,17,6,2,1990
43,18,7,3,1606
44,18,14,2,1594
45,19,15,4,2461
46,19,16,4,2600
47,19,14,1,1594
48,20,19,3,4614
49,20,11,3,1322
50,20,16,3,2600
51,21,16,1,2600
52,22,2,2,3261
53,23,10,2,632
54,23,7,5,1606
55,24,4,3,575
56,25,11,1,1322
57,26,19,3,4614
58,26,16,1,2600
59,26,6,2,1990
60,27,5,5,427
61,27,20,3,3208
62,28,2,5,3261
63,28,16,2,2600
64,28,13,5,362
65,29,15,4,2461
66,29,14,3,1594
67,30,17,5,2307
68,30,6,4,1990
69,31,15,1,2461
70,31,20,3,3208
71,32,7,3,1606
72,32,20,4,3208
73,32,20,2,3208
74,33,8,1,4391
75,33,2,1,3261
76,34,14,4,1594
77,34,15,1,2461
78,34,10,5,632
79,35,9,3,1999
80,35,13,2,362
81,35,3,5,2742
82,36,7,4,1606
83,36,4,5,575
84,37,17,2,2307
85,37,1,1,2533
86,37,14,2,1594
87,38,14,2,1594
88,38,19,2,4614
89,39,3,5,2742
90,39,14,4,1594
91,40,15,2,2461
92,40,16,5,2600
93,40,2,4,3261
94,41,12,3,2030
95,41,17,2,2307
96,41,15,1,2461
97,42,11,5,1322
98,42,6,5,1990
99,42,17,1,2307
100,43,15,5,2461
101,43,11,1,1322
102,44,11,5,1322
103,45,16,3,2600
104,45,17,2,2307
105,45,1,5,2533
106,46,14,2,1594
107,47,20,2,3208
108,48,12,1,2030
109,48,5,1,427
110,48,5,4,427
111,49,8,5,4391
112,49,18,1,1527
113,50,6,2,1990
114,50,14,1,1594
115,50,17,5,2307
116,51,2,3,3261
117,52,14,1,1594
118,52,7,5,1606
119,52,5,4,427
120,53,4,2,575
121,53,8,4,4391
122,53,15,3,2461
123,54,7,1,1606
124,54,9,2,1999
125,55,2,1,3261
126,55,17,2,2307
127,55,12,1,2030
128,56,6,4,1990
129,56,15,1,2461
130,56,8,2,4391
131,57,10,2,632
132,58,15,2,2461
133,59,14,2,1594
134,60,12,3,2030
135,60,20,2,3208
136,60,11,3,1322
