order_id,customer_id,order_date,status
1,4,2025-05-12,Delivered
2,19,2025-03-23,Delivered
3,4,2025-05-16,Cancelled
4,25,2025-03-14,Shipped
5,21,2025-07-28,Delivered
6,16,2025-05-15,Cancelled
7,5,2025-03-06,Cancelled
8,11,2025-12-20,Shipped
9,11,2025-10-23,Shipped
10,30,2025-03-03,Shipped
11,9,2025-12-08,Delivered
12,9,2025-01-14,Cancelled
13,13,2025-10-18,Shipped
14,18,2025-03-06,Shipped
15,19,2025-09-29,Cancelled
16,28,2025-02-23,Delivered
17,17,2025-03-14,Delivered
18,14,2025-01-02,Cancelled
19,30,2025-08-10,Cancelled
20,25,2025-04-21,Shipped
21,20,2025-11-28,Cancelled
22,18,2025-09-10,Shipped
23,12,2025-01-09,Cancelled
24,5,2025-08-14,Cancelled
25,21,2025-10-20,Cancelled
26,29,2025-07-04,Delivered
27,30,2025-07-13,Shipped
28,9,2025-08-30,Cancelled
29,14,2025-08-21,Delivered
30,17,2025-11-28,Cancelled
31,16,2025-05-11,Shipped
32,20,2025-06-12,Shipped
33,5,2025-01-20,Shipped
34,5,2025-12-15,Delivered
35,6,2025-05-12,Cancelled
36,22,2025-04-29,Cancelled
37,23,2025-12-07,Delivered
38,11,2025-05-16,Shipped
39,18,2025-11-07,Cancelled
40,29,2025-10-17,Cancelled
41,11,2025-01-07,Delivered
42,11,2025-08-05,Cancelled
43,13,2025-01-09,Delivered
44,14,2025-01-29,Shipped
45,30,2025-05-13,Cancelled
46,10,2025-08-19,Delivered
47,21,2025-11-18,Cancelled
48,4,2025-06-12,Cancelled
49,11,2025-01-04,Shipped
50,1,2025-08-08,Cancelled
51,15,2025-06-09,Cancelled
52,9,2025-02-08,Delivered
53,2,2025-04-07,Cancelled
54,9,2025-04-25,Delivered
55,22,2025-03-10,Cancelled
56,2,2025-05-03,Cancelled
57,18,2025-04-06,Cancelled
58,19,2025-08-06,Shipped
59,6,2025-04-20,Shipped
60,30,2025-10-25,Delivered
