order_id,payment_method,amount
1,UPI,2131
2,COD,4412
3,COD,2042
4,UPI,2652
5,COD,7307
6,Card,293
7,Card,9279
8,UPI,8073
9,COD,2973
10,UPI,5611
11,UPI,7224
12,UPI,3582
13,COD,825
14,NetBanking,4044
15,UPI,9408
16,NetBanking,1934
17,Card,5687
18,Card,9225
19,UPI,8676
20,COD,2630
21,Card,964
22,Card,8003
23,NetBanking,1581
24,Card,305
25,UPI,4399
26,COD,7059
27,COD,3179
28,COD,467
29,UPI,1132
30,UPI,9804
31,NetBanking,8629
32,NetBanking,3642
33,UPI,2828
34,COD,7783
35,Card,9856
36,UPI,6052
37,UPI,8536
38,UPI,4843
39,UPI,6501
40,NetBanking,5131
41,Card,2478
42,COD,6011
43,Card,9178
44,UPI,9116
45,UPI,7202
46,UPI,7411
47,UPI,5814
48,Card,758
49,Card,8573
50,NetBanking,1332
51,COD,5396
52,Card,9977
53,UPI,3913
54,Card,1249
55,UPI,6805
56,NetBanking,4594
57,UPI,8086
58,UPI,6573
59,UPI,6343
60,Card,4853
